# Title: United States Billion-Dollar Disasters Cost per Capita (CPI-Adjusted)
# Cost values are in dollars

State,Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
US,1980,1,177.1,141.4,211.9,130.5,222.8,125.3,228,1,11.7,7,13.5,7,17,5.2,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.6,6.5,13.1,6.5,16.5,4.8,21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,198.4,154.9,238.5,144,256.3,135.3,268
US,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7.8,9.5,6.5,10.8,4.7,12.5,1,6,4.7,6,3,7.8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.1,12.5,15.5,9.5,18.6,7.7,21.5
US,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13.7,11,14.1,8.6,14.1,8.6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,7.3,9.8,5.5,11.5,0,14.5,3,23,18.3,23.9,14.1,25.6,8.6,31.5
US,1983,1,40.6,28.7,46.5,25.8,52,23.2,54.5,3,46.5,40.6,57,37.6,61.2,35.1,63.8,1,27.5,22,33,22,34.2,20.3,34.2,0,0,0,0,0,0,0,0,1,40.2,27.9,40.2,25.4,41.4,24.1,42.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,154.7,119.2,176.7,110.8,188.8,102.7,195.2
US,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13.8,12.5,15.1,10.1,16.8,10.1,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13.8,12.5,15.1,10.1,16.8,10.1,19.2
US,1985,0,0,0,0,0,0,0,0,1,16.6,10.8,19.1,9.5,20.3,9.5,22.8,1,14.9,12.4,16.2,11.2,17.4,10,18.7,1,7.5,6.2,7.5,5,8.7,5,9.5,3,44,28.5,43.5,26.1,47.4,23.7,49.4,0,0,0,0,0,0,0,0,1,10.4,11.2,11.2,10,12.4,10,12.4,7,93.3,69.1,97.5,61.8,106.2,58.2,112.8
US,1986,1,21.4,17.7,24.7,16.4,27.1,15.2,28.4,1,4.5,3.7,5.8,3.7,7,2.5,8.2,0,0,0,0,0,0,0,0,1,6.2,4.9,5.8,4.9,7,4.9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32.1,26.3,36.3,25,41.1,22.6,43.6
US,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,1988,1,220.3,167.5,267.5,155.4,279.6,149.7,286.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,220.3,167.5,267.5,155.4,279.6,149.7,286.5
US,1989,1,31.2,27.2,36.4,26,37.6,25.2,38.8,0,0,0,0,0,0,0,0,1,20.8,15.6,26,15.6,26,14.8,27.2,1,5.6,5.2,6,5.2,6,4,7.2,2,96.7,86.8,102,84,105.5,81.6,107.5,0,0,0,0,0,0,0,0,1,6.8,6,8,6,8,6,9.2,6,161.1,140.8,178.4,136.8,183.1,131.6,189.9
