year,event,incident_number,incident_start,incident_end,declaration_date,declaration_url,state,incident_type,valid_ihp_applications,eligible_ihp_applications,ihp_eligibility_rate,ihp_average_award,ihp_total,pa_total,pa_projects_count,cdbg_dr_allocation,frn1_date,frn1_days_since_disaster,frn1_url,frn1_grantee1_name,frn1_grantee1_url,frn1_grantee1_amount,frn1_grantee2_name,frn1_grantee2_url,frn1_grantee2_amount,frn1_grantee3_name,frn1_grantee3_url,frn1_grantee3_amount,frn1_grantee4_name,frn1_grantee4_url,frn1_grantee4_amount,frn1_grantee5_name,frn1_grantee5_url,frn1_grantee5_amount,frn1_grantee6_name,frn1_grantee6_url,frn1_grantee6_amount,frn1_grantee7_name,frn1_grantee7_url,frn1_grantee7_amount,frn1_grantee8_name,frn1_grantee8_url,frn1_grantee8_amount,frn1_grantee9_name,frn1_grantee9_url,frn1_grantee9_amount,frn2_date,frn2_url,frn2_grantee1_name,frn2_grantee1_url,frn2_grantee1_amount,frn2_grantee2_name,frn2_grantee2_url,frn2_grantee2_amount,frn2_grantee3_name,frn2_grantee3_url,frn2_grantee3_amount,frn2_grantee4_name,frn2_grantee4_url,frn2_grantee4_amount,frn3_date,frn3_url,frn3_grantee1_name,frn3_grantee1_url,frn3_grantee1_amount,frn3_grantee2_name,frn3_grantee2_url,frn3_grantee2_amount,frn3_grantee3_name,frn3_grantee3_url,frn3_grantee3_amount,frn3_grantee4_name,frn3_grantee4_url,frn3_grantee4_amount,frn4_date,frn4_url,frn4_grantee1_name,frn4_grantee1_url,frn4_grantee1_amount
2003,North Carolina Hurricane Isabel,1490,2003-09-18,2003-09-26,2003-09-18,https://www.fema.gov/disaster/1490,NC,Hurricane,54328,25950,47.8,1749,45381526,68990855,1410,1523327,2004-12-10,449,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of North Carolina,,1523327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Virginia Hurricane Isabel,1491,2003-09-18,2003-10-01,2003-09-18,https://www.fema.gov/disaster/1491,VA,Hurricane,92918,29170,31.4,1956,57048029,201148176,2454,1431004,2004-12-10,449,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,Commonwealth of Virginia,,1431004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Maryland Hurricane Isabel,1492,2003-09-18,2003-09-29,2003-09-19,https://www.fema.gov/disaster/1492,MD,Hurricane,18012,8686,48.2,3805,33052305,39539110,1459,2737133,2004-12-10,448,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of Maryland,,2737133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,District of Columbia Hurricane Isabel,1493,2003-09-18,2003-09-29,2003-09-20,https://www.fema.gov/disaster/1493,DC,Hurricane,1732,701,40.5,1361,953918,4781171,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Delaware Hurricane Isabel,1494,2003-09-18,2003-09-29,2003-09-20,https://www.fema.gov/disaster/1494,DE,Hurricane,667,344,51.6,4242,1459279,2110395,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Delaware Tropical Storm Henri,1495,2003-09-15,2003-09-15,2003-09-23,https://www.fema.gov/disaster/1495,DE,Hurricane,1,1,100.0,1756,1756,8483793,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,West Virginia Hurricane Isabel,1496,2003-09-18,2003-09-30,2003-09-23,https://www.fema.gov/disaster/1496,WV,Hurricane,NA,NA,NA,NA,NA,1426063,236,510314,2004-12-10,444,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of West Virginia,,510314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Pennsylvania Tropical Storms Henri and Isabel and Related Severe Storms and Flooding,1497,2003-09-15,2003-09-23,2003-09-26,https://www.fema.gov/disaster/1497,PA,Severe Storm,416,267,64.2,3782,1009837,NA,NA,632061,2004-12-10,441,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,Commonwealth of Pennsylvania,,632061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,California Wildfires,1498,2003-10-21,2004-03-31,2003-10-27,https://www.fema.gov/disaster/1498,CA,Fire,37934,10587,27.9,3197,33842082,106312157,1156,3515976,2004-12-10,410,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of California,,3515976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Washington Severe Storms and Flooding,1499,2003-10-15,2003-10-23,2003-11-07,https://www.fema.gov/disaster/1499,WA,Severe Storm,1363,700,51.4,3908,2735260,8846439,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,"West Virginia Severe Storms, Flooding, and Landslides",1500,2003-11-11,2003-11-30,2003-11-21,https://www.fema.gov/disaster/1500,WV,Severe Storm,8040,5885,73.2,3680,21655767,15379669,1253,510314,2004-12-10,385,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of West Virginia,,510314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Puerto Rico Severe Storms, Flooding, Mudslides, and Landslides",1501,2003-11-10,2003-11-23,2003-11-21,https://www.fema.gov/disaster/1501,PR,Severe Storm,57130,41875,73.3,1387,58083771,6870351,598,3999482,2004-12-10,385,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,Commonwealth of Puerto Rico,,3999482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Virginia Severe Storms and Flooding,1502,2003-11-18,2003-11-19,2003-12-09,https://www.fema.gov/disaster/1502,VA,Severe Storm,703,487,69.3,2506,1220484,NA,NA,1431004,2004-12-10,367,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,Commonwealth of Virginia,,1431004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Virgin Islands Severe Storms, Flooding, Landslides, and Mudslides",1503,2003-11-10,2003-11-16,2003-12-09,https://www.fema.gov/disaster/1503,VI,Severe Storm,NA,NA,NA,NA,NA,1520686,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Micronesia Typhoon Lupit,1504,2003-11-22,2003-11-26,2003-12-19,https://www.fema.gov/disaster/1504,FM,Typhoon,NA,NA,NA,NA,NA,1174019,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,California Earthquake,1505,2003-12-22,2004-02-06,2004-01-13,https://www.fema.gov/disaster/1505,CA,Earthquake,4660,3415,73.3,2382,8134432,46976992,249,3515976,2004-12-10,332,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of California,,3515976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"American Samoa High Winds, High Surf, and Heavy Rainfall Associated With Tropical Cyclone Heta",1506,2004-01-02,2004-01-06,2004-01-13,https://www.fema.gov/disaster/1506,AS,Typhoon,9251,8084,87.4,3207,25921601,11889074,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Ohio Severe Storms, Flooding, Mudslides, and Landslides",1507,2004-01-03,2004-01-30,2004-01-26,https://www.fema.gov/disaster/1507,OH,Severe Storm,858,507,59.1,2443,1238535,11242877,719,657180,2004-12-10,319,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of Ohio,,657180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Maine Severe Storms, Flooding, Snow Melt and Ice Jams",1508,2003-12-10,2003-12-31,2004-02-05,https://www.fema.gov/disaster/1508,ME,Severe Storm,NA,NA,NA,NA,NA,2291076,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,South Carolina Severe Ice Storm,1509,2004-01-26,2004-01-30,2004-02-13,https://www.fema.gov/disaster/1509,SC,Severe Ice Storm,NA,NA,NA,NA,NA,15648164,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Oregon Severe Winter Storms,1510,2003-12-26,2004-01-14,2004-02-19,https://www.fema.gov/disaster/1510,OR,Severe Storm,NA,NA,NA,NA,NA,9917510,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Micronesia Typhoon Sudal,1511,2004-04-08,2004-04-14,2004-04-10,https://www.fema.gov/disaster/1511,FM,Typhoon,1841,1768,96.0,4589,8112929,13564506,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Massachusetts Flooding,1512,2004-04-01,2004-04-30,2004-04-21,https://www.fema.gov/disaster/1512,MA,Flood,1969,1584,80.5,1722,2728345,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Illinois Severe Storms and Tornadoes,1513,2004-04-20,2004-04-23,2004-04-23,https://www.fema.gov/disaster/1513,IL,Severe Storm,852,273,32.0,2745,749315,1827070,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,New Mexico Severe Storms and Flooding,1514,2004-04-02,2004-04-11,2004-04-29,https://www.fema.gov/disaster/1514,NM,Severe Storm,NA,NA,NA,NA,NA,4289806,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"North Dakota Severe Storms, Flooding, and Ground Saturation",1515,2004-03-26,2004-06-14,2004-05-05,https://www.fema.gov/disaster/1515,ND,Severe Storm,NA,NA,NA,NA,NA,12186068,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Arkansas Sever Storms, Flooding and Landslides",1516,2004-04-19,2004-05-18,2004-05-07,https://www.fema.gov/disaster/1516,AR,Severe Storm,NA,NA,NA,NA,NA,6787749,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Nebraska Severe Storms, Tornadoes and Flooding",1517,2004-05-20,2004-06-01,2004-05-25,https://www.fema.gov/disaster/1517,NE,Severe Storm,1044,392,37.6,2117,829909,12941905,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Iowa Severe Storms, Tornadoes, and Flooding",1518,2004-05-19,2004-06-24,2004-05-25,https://www.fema.gov/disaster/1518,IA,Severe Storm,4809,3112,64.7,1989,6190449,14232686,1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Ohio Severe Storms and Flooding,1519,2004-05-18,2004-06-21,2004-06-03,https://www.fema.gov/disaster/1519,OH,Severe Storm,36188,15716,43.4,1221,19193921,10227889,828,657180,2004-12-10,190,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of Ohio,,657180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Indiana Severe Storms, Tornadoes, and Flooding",1520,2004-05-25,2004-06-25,2004-06-03,https://www.fema.gov/disaster/1520,IN,Severe Storm,4978,2428,48.8,2074,5034664,3965853,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Louisiana Severe Storms and Flooding,1521,2004-05-12,2004-05-19,2004-06-08,https://www.fema.gov/disaster/1521,LA,Severe Storm,7633,4176,54.7,1413,5900558,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"West Virginia Severe Storms, Flooding, and Landslides",1522,2004-05-27,2004-06-28,2004-06-07,https://www.fema.gov/disaster/1522,WV,Severe Storm,8810,6229,70.7,3141,19563069,9123086,509,510314,2004-12-10,186,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of West Virginia,,510314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Kentucky Severe Storms, Tornadoes, Flooding, and Mudslides",1523,2004-05-26,2004-06-18,2004-06-10,https://www.fema.gov/disaster/1523,KY,Severe Storm,10238,6750,65.9,3241,21879092,16923323,1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Missouri Severe Storms, Tornadoes, and Flooding",1524,2004-05-18,2004-05-31,2004-06-11,https://www.fema.gov/disaster/1524,MO,Severe Storm,1101,573,52.0,2438,1396915,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Virginia Severe Storms, Tornadoes, and Flooding",1525,2004-05-24,2004-06-26,2004-06-15,https://www.fema.gov/disaster/1525,VA,Severe Storm,963,694,72.1,2246,1558981,NA,NA,1431004,2004-12-10,178,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,Commonwealth of Virginia,,1431004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Wisconsin Severe Storms and Flooding,1526,2004-05-07,2004-07-03,2004-06-18,https://www.fema.gov/disaster/1526,WI,Severe Storm,7919,3880,49.0,1693,6568870,10424953,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Michigan Severe Storms, Tornadoes, and Flooding",1527,2004-05-20,2004-06-08,2004-06-30,https://www.fema.gov/disaster/1527,MI,Severe Storm,90101,35693,39.6,1157,41314006,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Arkansas Severe Storms and Flooding,1528,2004-05-30,2004-07-09,2004-06-30,https://www.fema.gov/disaster/1528,AR,Severe Storm,NA,NA,NA,NA,NA,3149411,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,California Flooding as a Result of a Levee Break,1529,2004-06-03,2004-07-12,2004-06-30,https://www.fema.gov/disaster/1529,CA,Dam or Levee Break,NA,NA,NA,NA,NA,20600698,78,3515976,2004-12-10,163,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of California,,3515976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,New Jersey Severe Storms and Flooding,1530,2004-07-12,2004-07-23,2004-07-16,https://www.fema.gov/disaster/1530,NJ,Severe Storm,5642,4156,73.7,2320,9640959,7100237,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,South Dakota Severe Storms and Flooding,1531,2004-05-28,2004-06-16,2004-07-20,https://www.fema.gov/disaster/1531,SD,Severe Storm,NA,NA,NA,NA,NA,1001758,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Northern Mariana Islands Flooding, High Surf, High Winds, and Wind-Driven Rain Associated W Typh Tingting",1532,2004-06-27,2004-06-29,2004-07-29,https://www.fema.gov/disaster/1532,MP,Typhoon,NA,NA,NA,NA,NA,1834644,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Guam High Winds, Flooding, and Mudslides As A Result Of Tropical Storm Tingting",1533,2004-06-26,2004-06-29,2004-07-29,https://www.fema.gov/disaster/1533,GU,Severe Storm,NA,NA,NA,NA,NA,883773,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,New York Severe Storms and Flooding,1534,2004-05-13,2004-06-17,2004-08-03,https://www.fema.gov/disaster/1534,NY,Severe Storm,NA,NA,NA,NA,NA,17895313,1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Kansas Severe Storms, Flooding, and Tornadoes",1535,2004-06-12,2004-07-25,2004-08-03,https://www.fema.gov/disaster/1535,KS,Severe Storm,NA,NA,NA,NA,NA,9888122,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"West Virginia Severe Storms, Flooding, and Landslides",1536,2004-07-22,2004-09-01,2004-08-06,https://www.fema.gov/disaster/1536,WV,Severe Storm,629,506,80.5,2895,1465037,NA,NA,510314,2004-12-10,126,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of West Virginia,,510314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Kentucky Severe Storms and Flooding,1537,2004-07-13,2004-07-15,2004-08-06,https://www.fema.gov/disaster/1537,KY,Severe Storm,NA,NA,NA,NA,NA,3322009,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Pennsylvania Severe Storms and Flooding,1538,2004-07-27,2004-08-25,2004-08-06,https://www.fema.gov/disaster/1538,PA,Severe Storm,10017,6000,59.9,1660,9961968,NA,NA,632061,2004-12-10,126,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,Commonwealth of Pennsylvania,,632061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Florida Hurricane Charley and Tropical Storm Bonnie,1539,2004-08-11,2004-08-30,2004-08-13,https://www.fema.gov/disaster/1539,FL,Hurricane,268542,116215,43.3,1798,208970754,610158704,6982,25228907,2004-12-10,119,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of Florida,,25228907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Nevada Wildland Fire,1540,2004-07-14,2004-07-27,2004-08-26,https://www.fema.gov/disaster/1540,NV,Fire,NA,NA,NA,NA,NA,6196188,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Northern Mariana Islands Flooding, High Surf, Storm Surge, and High Winds As A Result Of Super Typhoon Ch",1541,2004-08-21,2004-08-26,2004-08-26,https://www.fema.gov/disaster/1541,MP,Typhoon,5517,3980,72.1,3476,13836393,6141408,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Indiana Severe Storms, Tornadoes and Flooding",1542,2004-07-03,2004-07-18,2004-09-01,https://www.fema.gov/disaster/1542,IN,Severe Storm,NA,NA,NA,NA,NA,2763647,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,South Carolina Hurricane Charley,1543,2004-08-14,2004-08-15,2004-09-01,https://www.fema.gov/disaster/1543,SC,Hurricane,NA,NA,NA,NA,NA,2317161,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
